id,text
0,don't wanna go home. it's all empty there. maybe i should get a cat but who will care for her when i go to office 
1,going out to enjoy the sunshine again  -x-
2, @USER  good good. i'm ready for my closeup.... 
3,good morning everyone! i'm feeling blessed 
4, @USER   thank you so much  i am really glad you enjoyed it
5, @USER  each day is a blessing.  it can only go uphill from there 
6," @USER   coolio, i'll send out a text then to everyone and you can go home to bed, tell your boss i said it was ok. "
7,loving that the only thing trending higher than #mesh09 on twitter is &quot;easter&quot; 
8,got a bag full of blowpops so i'll be happy today. 
9, @USER  coz thats wot the error code says 
10," @USER   WEBSITE2018 -  gotta love a bit of starbucks, and miley... ideal combination much?"
11," @USER  no, i dont like running for the bus, when i leave &quot;on time&quot; i have to run to catch it "
12, @USER  i was just going to put that as my update! 
13,i don't like being sick 
14,ahhhh today is the big dayyy!! taking my drivers test im so scared everyone pray for me 
15," @USER  yes, i think i like it. i'll let you know later. "
16,business communication iï¿½in sorunlu bi yerde yemek yemesi gerek 
17, @USER  i have some pretty hoity-toity greenhouses in my area. we'll see.  thanks!
18, @USER   i love this thing called twitter dont you? have a great tues 
19,"all did not go to plan, ended up seeing the boat that rocked, and only about an hour and a half later "
20, @USER  i'll better get crackin' on exposing the system as a restful service. just to be consistent w/twitter.  thank you!!!!!!!!!
21, @USER   WEBSITE2018 - is this your work glamour shot 
22,strep throat! ugh! definitely not the greatest thing to have a week before your first out of state show 
23,still waiting for replacement cards - what if i had no money at all??? insurance co. seem to be dragging their heels too 
24,wittering!! yay - i have a follower 
25, @USER  thanks!  it's just what i think. 
26, @USER  i need u to fix ur avatar so people can see how flyy my bff is  i miss u already and i want some sonics...lol!
27,good morning folks! it's a chilly tuesday morning and i'm ready for the day! i think... 
28, @USER  how did your shoot go then?  x
29, @USER  lol...sup mr.handsome 
30,hahahah i think a church choir just walked by... i need company 
31,@ work. on day #6.  whts goin on with everyone?
32,"hi ho, hi ho... it's off to work... "
33,.i won't be going to the a-day game if it's raining because of the pathetic no-umbrella-rule in bryant-denny. and it is raining now. 
34,just read all my tweets i sound like a dork haha  but that's just me
35, @USER  crowe's personality and ego are the real heinous bloaty parts  wonder if quaid's a nice guy?
36,gonna go on cod waw with niall  wish me luck xx
37," @USER  hey, i will only in town until thursday, so alas can't do... "
38,"the prodigy tonight! stoked!  oh, burnt bagels are the way forward!"
39,doing tv easy crossword! 
40, @USER   @USER  seems that i need a wishlist on my blog too!  i should start to blog something interesting also...
41," @USER  voters have been voting in rebellion since 8 march 2008 election. before malaysians unite, perhaps change would be good "
42,"car looks better for a clean, apart from now i can see all the dents, scratches, stone chips...and all the bits i missed! "
43, @USER  cheers for the link liam..yeah i've been trying dafont all afternoon but it seems to be offline at the moment 
44,it is am absolutely beautiful morning today 
45,good on you parky   WEBSITE2018 
46,should not be crushing on a boy (with a nice smile) just 'cos he asked for my number... hmm... 
47, @USER  nï¿½o te consigo mandar direct messages!!  &quot;error: maybe the recipient isn't following you! como ï¿½ possï¿½vel sr. tux?!! 
48," @USER  thanks!! i did make an aj vid... but, youtube took it down because of the song... copyright... "
49,just signed up and looking for followers. 
50,mapping out this hat...i have a large head. 
51," @USER  you are such a sucker for a compliment....  don't be stopping now, or you'll get chugged, and how!"
52, @USER  they could also tweet  @USER   @USER  aroberts 
53, @USER  at all the shows i have seen you have seemed relaxed on right on point  (in regards to iowa) you're always great jon!!
54,last day in lebanon drinking beer and bbq 
55, @USER  sounds more like a land giveaway 
56, @USER  i can't do it  i really wish i could im going out too 
57,doesnt want to leave nathan for a week  but i know it will probably be for the better.
58,it's raining in hyd. this proves one thing. even rain gods are on twitter!! 
59,"cursing consciousness, then catering....uhm, with my mom. i was hoping for some alliteration. "
60, @USER  a good 3 cups in the morning espcially since i work for a radio station here in la thanks to coffee it keeps me awake 
61,'s cake has sunk  so off to learn more database theory in the sun and forget about attempts at domestic-goddess-ity...
62," @USER  it doesnt make me laugh either,my friend hacked my twitter im sorry "
63,weekends can be so ho-hum on the internet. 
64,"omg. it is official! after much denial and struggle, i am sick. "
65,"at school, can't believe twitter works here "
66," @USER  you should swing by the other coast, we're much nicer "
67,just enjoying the view while at work. sometimes u gotta love working outdoors    WEBSITE2018 
68," @USER  hehe. maybe. a load of it will certainly be going towards driving. need to get a new driving license, i've lost mine "
69, @USER  thank you for inspiring people to check out a great cause that they might not have otherwise known was out there 
70, @USER  oh wow i just saw ur msg as well. i'm not the best @ twittering 
71,"hey, #blockparty #notacon people does anyone have a cd or dvd that they wouldn't mind my using? my webserv breaks my compo entry. "
72,prelims next week.  bricking it.
73," @USER  thanks pat! funny thing is we've always pushed out, but true, lots of peeps don't notice  "
74," @USER  oooh, so sorry dear, sending you get well vibes &amp; many, big, warm ((hugs)) "
75," @USER  thanks  i love the candid style, much more like me"
